playerID,firstName,lastName,birth_country,position,draftYear,GamesPlayed,Goals,Assists,Points
8478000,Jack,Glover,USA,D,2014,N/A,N/A,N/A,N/A
8478001,Miles,Gendron,USA,D,2014,N/A,N/A,N/A,N/A
8478002,Connor,Chatham,USA,R,2014,N/A,N/A,N/A,N/A
8478003,Alex,Schoenborn,USA,R,2014,N/A,N/A,N/A,N/A
8478004,Brett,Lernout,CAN,D,2014,21,0,1,1
8478005,Brycen,Martin,CAN,D,2014,N/A,N/A,N/A,N/A
8478006,Alexander,Peters,CAN,D,2014,N/A,N/A,N/A,N/A
8478007,Elvis,Merzlikins,LAT,G,2014,191,0,4,N/A
8478008,Blake,Siebenaler,USA,D,2014,N/A,N/A,N/A,N/A
8478009,Ilya,Sorokin,RUS,G,2014,192,0,3,N/A
8478010,Brayden,Point,CAN,C,2014,580,264,289,553
8478011,Louie,Belpedio,USA,D,2014,16,2,4,6
8478012,Dylan,Sadowy,CAN,L,2014,N/A,N/A,N/A,N/A
8478013,Jake,Walman,CAN,D,2014,202,25,26,51
8478014,Matheson,Iacopelli,USA,R,2014,N/A,N/A,N/A,N/A
8478015,Kyle,Wood,CAN,D,2014,N/A,N/A,N/A,N/A
8478016,Keegan,Iverson,USA,R,2014,N/A,N/A,N/A,N/A
8478017,Mark,Friedman,CAN,D,2014,88,4,9,13
8478018,Anton,Karlsson,SWE,R,2014,N/A,N/A,N/A,N/A
8478019,Beau,Starrett,USA,C,2014,N/A,N/A,N/A,N/A
8478020,Michael,Amadio,CAN,R,2014,369,57,55,112
8478021,William,Lagesson,SWE,D,2014,100,0,11,11
8478022,Joe,Wegwerth,USA,R,2014,N/A,N/A,N/A,N/A
8478023,Nick,Magyar,USA,R,2014,N/A,N/A,N/A,N/A
8478024,Ville,Husso,FIN,G,2014,132,0,1,N/A
8478025,Linus,Soderstrom,SWE,G,2014,N/A,N/A,N/A,N/A
8478026,Josh,Wesley,USA,D,2014,N/A,N/A,N/A,N/A
8478027,Lucas,Wallmark,SWE,C,2014,187,23,36,59
8478028,Fredrik,Olofsson,SWE,L,2014,85,4,9,13
8478029,Chase,De Leo,USA,L,2014,7,0,0,0
8478030,Shane,Eiserman,USA,C,2014,N/A,N/A,N/A,N/A
8478031,Nelson,Nogier,CAN,D,2014,11,0,0,0
8478032,Alexis,Vanier,CAN,D,2014,N/A,N/A,N/A,N/A
8478033,John,Piccinich,USA,R,2014,N/A,N/A,N/A,N/A
8478034,Ryan,Mantha,USA,D,2014,N/A,N/A,N/A,N/A
8478035,Michael,Prapavessis,CAN,D,2014,N/A,N/A,N/A,N/A
8478036,Christoffer,Ehn,SWE,C,2014,114,5,8,13
8478037,Julien,Pelletier,CAN,L,2014,N/A,N/A,N/A,N/A
8478038,Devon,Toews,CAN,D,2014,397,52,182,234
8478039,Kaapo,Kahkonen,FIN,G,2014,139,0,2,N/A
8478040,Austin,Poganski,USA,R,2014,22,0,0,0
8478041,Zachary,Nagelvoort,USA,G,2014,N/A,N/A,N/A,N/A
8478042,Viktor,Arvidsson,SWE,L,2014,546,179,183,362
8478043,Sam,Lafferty,USA,C,2014,289,36,47,83
8478044,Alexis,Pepin,CAN,L,2014,N/A,N/A,N/A,N/A
8478045,Brent,Moran,CAN,G,2014,N/A,N/A,N/A,N/A
8478046,Danton,Heinen,CAN,L,2014,487,87,125,212
8478047,Michael,Bunting,CAN,L,2014,268,76,105,181
8478048,Igor,Shesterkin,RUS,G,2014,213,0,3,N/A
8478049,Ben,Thomas,CAN,D,2014,5,0,0,0
8478050,Steven,Johnson,USA,D,2014,N/A,N/A,N/A,N/A
8478051,Max,Willman,USA,C,2014,68,7,3,10
8478052,Matthew,Berkovitz,USA,D,2014,N/A,N/A,N/A,N/A
8478053,Jaedon,Descheneau,CAN,R,2014,N/A,N/A,N/A,N/A
8478054,Nikolas,Koberstein,CAN,D,2014,N/A,N/A,N/A,N/A
8478055,Gustav,Forsling,SWE,D,2014,397,46,115,161
8478056,Clark,Bishop,CAN,C,2014,47,1,7,8
8478057,Dakota,Joshua,USA,C,2014,184,33,31,64
8478058,CJ,Suess,USA,L,2014,5,0,0,0
8478059,Liam,Coughlin,USA,C,2014,N/A,N/A,N/A,N/A
8478060,Ryan,Rehill,CAN,D,2014,N/A,N/A,N/A,N/A
8478061,Joonas,Lyytinen,FIN,D,2014,N/A,N/A,N/A,N/A
8478062,Dysin,Mayo,CAN,D,2014,82,4,8,12
8478063,Shane,Gersich,USA,L,2014,3,0,1,1
8478064,Miro,Karjalainen,FIN,D,2014,N/A,N/A,N/A,N/A
